#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.79693287052       1430.681829     -5438.274727      3004.866122         0.396556         0.104020        -0.000551         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000        -0.000000
 2456753.79762731493       1454.461471     -5431.981504      3004.833054         0.396097         0.105754        -0.000551         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.79832175933       1478.213352     -5425.584299      3004.800028         0.395631         0.107486        -0.000550         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.79901620373       1501.937016     -5419.083235      3004.767046         0.395157         0.109216        -0.000549         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.79971064813       1525.632010     -5412.478436      3004.734108         0.394675         0.110944        -0.000549         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.80040509254       1549.297878     -5405.770029      3004.701215         0.394186         0.112670        -0.000548         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.80109953694       1572.934170     -5398.958141      3004.668368         0.393689         0.114393        -0.000547         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000         0.000000
 2456753.80179398181       1596.540447     -5392.042899      3004.635567         0.393185         0.116114        -0.000546         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.80248842621       1620.116226     -5385.024444      3004.602813         0.392673         0.117834        -0.000546         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000        -0.000000
 2456753.80318287062       1643.661073     -5377.902906      3004.570106         0.392154         0.119551        -0.000545         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.80387731502       1667.174535     -5370.678422      3004.537447         0.391627         0.121265        -0.000544         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.80457175942       1690.656164     -5363.351129      3004.504836         0.391093         0.122978        -0.000543         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.80526620382       1714.105509     -5355.921169      3004.472275         0.390551         0.124687        -0.000542         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.80596064823       1737.522122     -5348.388682      3004.439764         0.390002         0.126395        -0.000541         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.80665509263       1760.905554     -5340.753814      3004.407303         0.389445         0.128100        -0.000541         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.80734953703       1784.255357     -5333.016710      3004.374894         0.388881         0.129803        -0.000540         5390.281167     -1597.890835      3007.077772         0.000000         0.000000         0.000000
 2456753.80804398144       1807.571086     -5325.177519      3004.342536         0.388309         0.131503        -0.000539         5390.281167     -1597.890835      3007.077772        -0.000000        -0.000000         0.000000
 2456753.80873842584       1830.852293     -5317.236390      3004.310231         0.387730         0.133201        -0.000538         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.80943287071       1854.098548     -5309.193471      3004.277978         0.387144         0.134896        -0.000537         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.81012731511       1877.309375     -5301.048926      3004.245780         0.386550         0.136589        -0.000536         5390.281167     -1597.890835      3007.077772         0.000000         0.000000        -0.000000
 2456753.81082175951       1900.484346     -5292.802905      3004.213635         0.385948         0.138278        -0.000535         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.81151620392       1923.623017     -5284.455567      3004.181545         0.385340         0.139966        -0.000534         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.81221064832       1946.724944     -5276.007071      3004.149511         0.384724         0.141650        -0.000533         5390.281167     -1597.890835      3007.077772        -0.000000         0.000000        -0.000000
 2456753.81290509272       1969.789686     -5267.457579      3004.117533         0.384100         0.143332        -0.000532         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000        -0.000000
 2456753.81359953713       1992.816801     -5258.807255      3004.085612         0.383469         0.145011        -0.000532         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000         0.000000
 2456753.81429398153       2015.805849     -5250.056264      3004.053748         0.382831         0.146688        -0.000531         5390.281167     -1597.890835      3007.077772         0.000000        -0.000000        -0.000000
